joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.883047,-0.609902,-0.205868,-0.000088,0.185438,0.250430,-0.512478,-0.533315,-0.376010,0.030624,-1.759318,0.000377,0.000570,-1.137755,0.916164,-0.000006,-0.000002,-0.119097,-0.441200,-0.036349,0.025641,0.000025,0.000003,0.000002,0.000000,0.000000,0.000000,-0.000005,0.000013
0.878600,-0.599666,-0.252809,-0.072606,0.060436,0.104086,-0.624652,-0.584725,-0.252484,0.048234,-1.376374,0.000080,0.000204,-1.355359,0.462362,-0.000002,-0.000005,0.139778,-0.597148,-0.026377,0.018465,0.000014,0.000021,0.000002,0.000000,-0.000002,-0.000002,-0.000006,0.000017
0.857859,-0.551186,-0.282428,-0.029981,-0.043095,0.005344,-0.484709,-0.608405,-0.175805,0.046989,-0.897234,-0.000096,-0.000005,-1.403230,0.128502,-0.000002,-0.000006,0.161615,-0.694247,-0.011990,0.006861,0.000009,0.000027,0.000002,0.000000,-0.000002,-0.000003,-0.000007,0.000023
0.885564,-0.373882,-0.285962,0.197255,-0.063916,-0.022057,-0.174315,-0.602922,-0.209053,0.046550,-0.428837,-0.000137,-0.000035,-1.274910,0.124430,-0.000002,-0.000007,0.042341,-0.523814,-0.001181,-0.002598,0.000015,0.000030,0.000003,0.000002,0.000000,-0.000002,-0.000003,0.000025
0.826568,-0.186106,-0.251683,0.303291,-0.034497,-0.006027,0.020157,-0.539825,-0.190101,0.015011,0.081682,-0.000220,-0.000125,-0.832779,0.261580,0.000000,-0.000007,0.101537,-0.098564,0.003511,-0.002877,0.000033,0.000032,0.000003,0.000002,-0.000001,0.000002,0.000001,0.000018
0.826685,0.003713,-0.209023,0.307047,-0.014771,0.032104,0.076578,-0.296527,-0.128260,-0.047224,0.354512,-0.000243,-0.000191,-0.147088,0.259629,-0.000002,-0.000006,0.032179,0.076940,0.008705,-0.001563,0.000041,0.000028,0.000003,-0.000003,-0.000001,0.000003,0.000003,0.000008
0.844757,0.144528,-0.105906,0.279024,-0.060398,0.017235,-0.030013,0.020701,-0.022219,0.093843,0.448986,-0.000130,-0.000196,0.592489,0.329989,-0.000003,-0.000005,-0.071602,-0.032485,0.025160,-0.006399,0.000010,0.000003,0.000003,-0.000004,0.000001,0.000003,0.000009,0.000001
0.796728,0.293706,0.076556,0.239554,-0.053833,-0.050400,-0.197906,0.349701,0.075833,0.507627,0.399736,0.000033,-0.000223,1.148060,0.280575,-0.000003,-0.000002,-0.017626,-0.181953,0.040661,-0.003278,-0.000028,-0.000022,0.000000,-0.000003,0.000001,0.000002,0.000018,-0.000004
0.723790,0.518877,0.215400,0.304479,0.006048,-0.146811,-0.179950,0.590159,0.145226,1.125941,0.237249,0.000084,-0.000400,1.354925,-0.024209,0.000000,-0.000003,0.027798,-0.330608,0.044821,0.004732,-0.000060,-0.000025,-0.000003,-0.000003,0.000000,0.000002,0.000019,0.000000
0.229070,0.712855,0.324594,0.280074,0.011803,-0.261289,0.002393,0.738692,0.298284,2.117261,0.133869,0.000043,-0.000709,1.245582,-0.440507,0.000005,-0.000006,-0.021769,-0.454342,0.045421,0.010980,-0.000103,-0.000025,-0.000004,-0.000003,0.000000,0.000002,0.000012,0.000008
-0.748716,0.817752,0.463085,0.057830,-0.004008,-0.370687,0.216483,0.906723,0.468568,3.163327,0.038710,0.000019,-0.000969,0.780291,-0.988087,0.000009,-0.000003,-0.215100,-0.581902,0.045342,0.017495,-0.000135,-0.000012,-0.000006,-0.000003,0.000000,-0.000003,0.000012,0.000000
-1.696954,0.900672,0.635340,-0.117448,0.011124,-0.392176,0.226782,0.906339,0.542937,3.600000,-0.002102,-0.000008,-0.001082,0.231121,-1.265008,0.000015,0.000000,-0.283161,-0.426822,0.044421,0.020703,-0.000138,0.000009,-0.000006,-0.000001,0.000000,-0.000006,0.000011,-0.000012
-2.335241,1.049076,0.772999,-0.222080,0.117303,-0.299152,-0.051355,0.806925,0.523552,3.599999,-0.041209,-0.000003,-0.000996,-0.127394,-1.222188,0.000018,0.000003,-0.166643,-0.137857,0.040086,0.019266,-0.000132,0.000009,-0.000003,0.000003,0.000000,-0.000006,0.000000,-0.000026
-2.601104,1.165594,0.749690,-0.195003,0.257718,-0.145426,-0.256075,0.808210,0.411586,3.599999,-0.061923,0.000090,-0.000755,-0.324899,-0.965941,0.000013,0.000006,-0.122473,0.165150,0.029381,0.012293,-0.000119,0.000015,0.000000,0.000004,0.000000,-0.000006,-0.000005,-0.000037
-2.595547,1.211465,0.696559,-0.177207,0.313382,-0.026625,-0.448283,0.764730,0.298549,3.488796,-0.046306,0.000259,-0.000468,-0.225278,-0.556900,0.000009,0.000006,-0.037719,0.281361,0.021900,0.006548,-0.000107,0.000027,0.000002,0.000004,0.000002,-0.000006,-0.000001,-0.000045
-2.212786,1.304124,0.648443,-0.041735,0.392287,0.051459,-0.668560,0.585314,0.145433,1.809926,-0.059941,0.000471,-0.000245,-0.073381,-0.353040,0.000005,0.000005,0.180555,0.234335,0.016053,0.005289,-0.000091,0.000048,0.000002,0.000006,0.000002,-0.000006,0.000003,-0.000045
